"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"225","Film on Cuba's gay intolerance pulled from Havana festival https://t.co/ouaHIjK89D #cuba #lgbt #havana #filmfestival #castro #gayrights",FALSE,0,NA,2016-12-09 05:14:03,FALSE,NA,"807090912706772992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GTP_Global",0,FALSE,FALSE,NA,NA
"226","WTF?! Amid shouts of 'shame,' House GOP defeats gay rights measure https://t.co/msVOSK3U2A #gayrights #shame",FALSE,0,NA,2016-12-09 03:53:00,FALSE,NA,"807070515357687808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","karinamackenzie",0,FALSE,FALSE,NA,NA
"227","RT @AndreaMonroeART: ""The Great Misreckoning"" #lgbt #gayrights #art #andreamonroeart #painting #arttowatch https://t.co/JJYtIWLl2M",FALSE,0,NA,2016-12-09 02:11:27,FALSE,NA,"807044960390356993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","QueenofCr8tvty",2,TRUE,FALSE,NA,NA
"228","The Top Travel Destination For Closeted Gay Men Is... - https://t.co/huahimnjF3 #travel #gayrights #gay",FALSE,0,NA,2016-12-09 01:13:06,FALSE,NA,"807030275888873472",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","airfare7",0,FALSE,FALSE,NA,NA
"229","When we are not honest about the connections between the #Orlando attack and Islam, it puts #LGBTQ at risk for futu<U+2026> https://t.co/P0Sq5oOhzR",FALSE,0,NA,2016-12-09 00:21:32,TRUE,NA,"807017298016006144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VintageRosemary",0,FALSE,FALSE,NA,NA
"230","EXCLUSIVE VIDEO: Mexican Senators Beat Trump Pi<U+00F1>ata, Chant ""Faggot"" https://t.co/FXSMqqg6eH #LGBTQ #GayRights #Tolerance #IllegalImmigrants",FALSE,0,NA,2016-12-08 23:40:37,FALSE,NA,"807007002106982400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VintageRosemary",0,FALSE,FALSE,NA,NA
"231","Here's The Secret Gay Agenda: Equality #Gayrights #Lgbtrights https://t.co/kVYHDhRYVq https://t.co/OE8zMFh1qs",FALSE,0,NA,2016-12-08 23:08:28,FALSE,NA,"806998909637758976",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","GayWeddingNews",0,FALSE,FALSE,NA,NA
"232","Here's The Secret Gay Agenda: Equality #Gayrights #Lgbtrights https://t.co/oZ3egOt5Lm https://t.co/VcQCtVav8D",FALSE,0,NA,2016-12-08 23:08:24,FALSE,NA,"806998894672572416",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","LGBTWeddingNews",0,FALSE,FALSE,NA,NA
"233","Here's The Secret Gay Agenda: Equality #Gayrights #Lgbtrights https://t.co/bibsOjq3Rx https://t.co/nDwQU2FMcw",FALSE,0,NA,2016-12-08 23:08:21,FALSE,NA,"806998882815275008",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","RiotBlogCS",0,FALSE,FALSE,NA,NA
"234","Here's The Secret Gay Agenda: Equality #Gayrights #Lgbtrights https://t.co/gEdoLIvLW4 https://t.co/g5n3YRKZR3",FALSE,0,NA,2016-12-08 23:08:14,FALSE,NA,"806998852314271744",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","ModernWeddingCO",0,FALSE,FALSE,NA,NA
"235","@Mattersofpride We will spend a lot of time trying to keep rights we've attained which will take away from more pro<U+2026> https://t.co/DkPzSEE0wO",FALSE,1,"Mattersofpride",2016-12-08 22:21:47,TRUE,NA,"806987163313274880","2242304686","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NitriteReform",0,FALSE,FALSE,NA,NA
